generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.76581,-1739.61,1,1
1000,0,2.74921,-1456.61,0.496576,0.167832
2000,0,4.15326,-1453.4,0.0807115,0.1615
3000,0,4.29494,-1451.81,0.00278878,0.151616
4000,0,3.81326,-1451.37,0.308511,0.140667
5000,0,2.57828,-1451.62,1.72216,0.134
6000,0,3.91312,-1451.67,0.0425617,0.14475
7000,0,3.82157,-1452.32,0.0886692,0.142
8000,0,3.80271,-1451.51,0.102659,0.157667
9000,0,3.60448,-1451.61,0.293408,0.145095
10000,0,3.91847,-1454.84,0.192286,0.177333
11000,1,9.56909,-1453.1,0.35267,0.18
12000,0,3.21731,-1452.51,0.730554,0.188
13000,0,4.15911,-1456.68,0.0210834,0.135
14000,0,3.91,-1454.28,0.303351,0.148
15000,0,3.95934,-1453.23,0.32348,0.15
16000,0,4.3661,-1457.17,0.203643,0.153
17000,0,2.35308,-1453,1.04762,0.139
18000,0,2.97896,-1452.22,1.33109,0.132
19000,1,7.09261,-1444.92,2.90406,0.168333
20000,1,7.03939,-1443.82,2.77262,0.222
21000,1,8.41703,-1445.48,1.85178,0.197692
22000,1,8.67192,-1447.06,1.48866,0.234
23000,1,8.94582,-1443.48,0.5494,0.202429
24000,2,14.1933,-1438,1.39942,0.3185
25000,3,17.4914,-1438.72,1.74579,0.296
26000,2,12.9733,-1439.95,2.30048,0.37
27000,1,9.49145,-1442.44,0.262048,0.281625
28000,1,6.79359,-1441.71,1.94321,0.292875
29000,1,9.18524,-1441.78,0.413523,0.237
30000,1,8.94274,-1439.15,0.472724,0.251
31000,1,7.32716,-1443.1,2.22112,0.2555
32000,1,7.30813,-1441.21,2.22415,0.2465
33000,3,18.4947,-1441.99,0.804416,0.277
34000,1,7.70827,-1440,2.15042,0.314
35000,3,16.2061,-1442.37,2.75814,0.270583
36000,1,8.57873,-1441.98,0.650552,0.307
37000,1,8.06447,-1440.67,1.14263,0.24
38000,1,9.56447,-1443.48,0.761457,0.238
39000,1,7.66739,-1443.43,2.8335,0.2726
40000,1,8.20333,-1439.77,2.00145,0.242
41000,1,8.65047,-1439.88,1.04067,0.2559
42000,1,8.64366,-1440.93,0.393536,0.247
43000,1,8.40622,-1439.89,0.383197,0.284
44000,1,8.726,-1441.23,1.07393,0.271
45000,1,8.1248,-1441.01,1.8508,0.277
46000,3,15.9554,-1441.63,2.51015,0.294
47000,1,9.32115,-1441.49,0.0358602,0.294
48000,1,8.90246,-1447.17,0.829387,0.236
49000,4,23.1488,-1439.04,2.33544,0.323
50000,1,7.62969,-1440,0.653393,0.272
51000,1,9.10535,-1441.83,1.02927,0.255
52000,1,8.78236,-1444.75,0.895029,0.273636
53000,1,9.1391,-1439.19,0.302763,0.23
54000,1,7.79115,-1442.89,1.9539,0.273
55000,0,3.3206,-1454.87,0.00678498,0.15669
56000,1,8.45019,-1442.32,0.207379,0.2545
57000,1,9.12453,-1441.86,0.299654,0.276
58000,2,11.9108,-1439.54,2.09937,0.283
59000,3,17.0571,-1436.31,3.42398,0.276
60000,3,16.0049,-1439.44,1.41987,0.283727
61000,2,12.1983,-1454.76,2.21134,0.3205
62000,4,23.0754,-1444.41,1.63376,0.392
63000,0,3.96589,-1452.03,0.236332,0.153875
64000,1,7.77056,-1443.65,1.51156,0.377
65000,1,7.10109,-1445.31,1.26231,0.246
66000,0,3.813,-1452.45,0.233785,0.142333
67000,0,3.54107,-1451.85,0.410886,0.169
68000,0,-1.55471,-1452.99,5.52102,0.164
69000,1,9.25572,-1440.45,0.415746,0.299333
70000,1,9.66988,-1439.77,0.1933,0.258
71000,1,9.28917,-1439.69,0.206955,0.215
72000,2,12.4951,-1440.52,1.06312,0.286
73000,2,11.451,-1434.66,2.64667,0.274591
74000,3,12.2711,-1446.31,1.22284,0.308
75000,0,0.598256,-1453.66,0.599541,0.152429
76000,4,23.0497,-1434.51,2.66139,0.272364
77000,5,27.6672,-1430.78,2.30731,0.306
78000,5,29.0871,-1427.62,2.33846,0.305
79000,8,42.7242,-1427.3,5.63715,0.339
80000,5,26.4824,-1420.75,3.25431,0.335
81000,5,24.2503,-1425.56,4.29692,0.35
82000,7,32.4528,-1422.25,2.57414,0.342
83000,2,12.1336,-1436.79,0.476414,0.321444
84000,1,8.08625,-1439.84,1.77632,0.259
85000,6,25.8639,-1423.37,3.90632,0.347
86000,4,16.779,-1437.72,1.5962,0.351
87000,5,19.0495,-1429.41,1.52869,0.346
88000,5,22.519,-1428.75,4.64638,0.311
89000,4,17.6739,-1423.93,3.33875,0.319
90000,4,17.687,-1426.72,1.94778,0.287
91000,1,7.63017,-1442.92,1.38581,0.278429
92000,7,29.2666,-1425.25,2.29718,0.3315
93000,7,33.613,-1422.8,2.91218,0.38
94000,4,17.8885,-1434.07,3.68998,0.343
95000,3,16.6952,-1428.71,3.49459,0.327
96000,3,18.1253,-1435.92,2.47452,0.287
97000,3,19.0057,-1433.43,1.59074,0.284
98000,3,17.1838,-1428.83,4.06104,0.319
99000,4,23.4588,-1422.95,1.96766,0.326
100000,1,6.05,-1448.57,2.64597,0.279444
101000,4,20.6455,-1430.83,4.40041,0.3435
102000,4,21.0959,-1428.13,1.94205,0.328
103000,2,13.1857,-1432.11,1.16412,0.303
104000,0,3.11758,-1451.56,0.766993,0.167125
105000,0,2.52801,-1451.63,1.2922,0.139
106000,0,3.11107,-1451.91,0.444058,0.147516
107000,0,3.02482,-1452.04,0.310457,0.148
108000,1,6.22895,-1440.86,3.23826,0.27175
109000,0,3.52519,-1451.54,0.477991,0.14875
110000,1,9.98743,-1443.71,0.129252,0.274
111000,2,15.1339,-1441.76,0.438885,0.321
112000,1,6.16969,-1441.32,2.57593,0.271
113000,2,13.7351,-1441.41,1.08232,0.296
114000,1,7.96261,-1440.52,1.73424,0.224
115000,1,8.92564,-1445.19,0.474206,0.237
116000,1,9.3575,-1438.86,0.342904,0.253
117000,0,2.74962,-1454.64,0.68194,0.149333
118000,0,2.29319,-1454.4,0.832173,0.143
119000,1,5.28705,-1440.59,0.709487,0.252
120000,2,9.79848,-1436.47,1.53598,0.244
121000,0,3.86313,-1453.92,0.0163799,0.148333
122000,0,2.7277,-1455.19,0.370359,0.169
123000,0,3.67631,-1451.73,0.0542868,0.136
124000,0,2.58794,-1452.38,0.836327,0.145
125000,0,3.68389,-1452.46,0.0491306,0.145
126000,0,3.10193,-1452.96,0.683512,0.151
127000,0,4.11273,-1451.5,0.131042,0.156
128000,0,3.131,-1451.38,1.11124,0.147
129000,0,3.97256,-1451.37,0.179799,0.134
130000,0,3.85359,-1451.67,0.343215,0.150917
131000,0,2.23267,-1453.73,1.11654,0.1764
132000,0,4.18271,-1452.56,0.214647,0.15
133000,0,3.15199,-1452.46,1.37067,0.295
134000,0,3.81907,-1453.26,0.023501,0.141
135000,0,3.40063,-1452.27,0.489367,0.159
136000,0,3.631,-1451.72,0.0501128,0.151429
137000,0,2.44403,-1452.96,0.3056,0.141
138000,0,2.997,-1451.65,0.759066,0.145333
139000,0,2.48979,-1454.4,0.57785,0.2125
140000,2,13.2613,-1444,1.75877,0.28355
141000,0,3.34221,-1452.85,1.06369,0.145909
142000,0,2.72215,-1452.52,0.0277151,0.153
143000,0,3.28198,-1452.24,0.042927,0.16
144000,0,2.52637,-1452.13,0.767162,0.151167
145000,0,2.63159,-1452.75,0.567278,0.143
146000,0,2.10643,-1454.91,0.701405,0.147
147000,0,3.19367,-1453.22,0.136164,0.163
148000,0,2.12792,-1453.18,1.18065,0.167
149000,0,3.81695,-1451.74,0.179258,0.15
150000,0,3.01348,-1451.83,0.820783,0.146
151000,0,2.94343,-1452.95,0.449948,0.227818
152000,0,3.02581,-1454.74,0.415334,0.134
153000,0,2.67384,-1451.61,1.11017,0.151125
154000,0,2.86506,-1452.65,0.791104,0.1505
155000,0,2.56498,-1452.86,0.866103,0.15
156000,1,8.78023,-1446.05,0.327976,0.17
157000,0,3.3831,-1453.52,0.368648,0.149111
158000,0,3.50308,-1454.09,0.329863,0.15
159000,1,8.00354,-1447.07,0.868187,0.241333
160000,1,8.91298,-1446.2,0.227794,0.235
161000,0,3.32407,-1451.93,0.402665,0.146167
162000,0,3.16942,-1452.22,0.886931,0.185083
163000,0,3.08545,-1452.57,0.236169,0.183
164000,0,3.11826,-1452.45,0.163404,0.145
165000,0,3.74828,-1453.72,0.104183,0.138
166000,0,2.92696,-1454.37,0.743514,0.139
167000,0,3.63685,-1451.98,0.183396,0.122
168000,0,3.88068,-1452.56,3.82685e-05,0.155
169000,0,3.33781,-1454.62,0.0386463,0.148875
170000,0,3.07795,-1452.09,0.224871,0.1862
171000,1,8.00949,-1448.16,1.18381,0.204
172000,1,6.86281,-1445.37,1.99312,0.222
