generation,rank_1,rank_2,swapAccepted
1000,1,4,1
2000,2,3,1
3000,1,2,0
4000,1,2,1
5000,1,4,1
6000,1,2,1
7000,1,4,1
8000,1,4,1
9000,2,3,1
10000,2,3,1
11000,2,4,1
12000,1,4,1
13000,2,3,1
14000,1,2,1
15000,2,4,1
16000,2,4,1
17000,1,2,1
18000,1,4,1
19000,2,4,1
20000,2,4,1
21000,2,3,1
22000,1,2,1
23000,2,3,1
24000,1,2,1
25000,2,3,0
26000,2,3,1
27000,1,2,1
28000,1,4,1
29000,2,3,1
30000,2,3,1
31000,2,3,1
32000,1,3,0
33000,1,2,1
34000,1,4,1
35000,1,2,1
36000,1,3,0
37000,2,4,1
38000,3,4,1
39000,1,3,1
40000,2,3,1
41000,1,2,1
42000,1,2,1
43000,1,2,1
44000,2,3,1
45000,2,4,1
46000,2,3,1
47000,3,4,1
48000,2,3,1
49000,1,4,0
50000,3,4,1
51000,3,4,1
52000,2,4,1
53000,1,3,1
54000,2,3,1
55000,1,3,0
56000,2,4,1
57000,2,3,1
58000,2,4,1
59000,2,4,1
60000,3,4,1
61000,1,4,1
62000,1,2,1
63000,1,4,1
64000,3,4,1
65000,1,4,1
66000,1,3,1
67000,1,2,1
68000,1,3,1
69000,2,4,1
70000,2,4,0
71000,3,4,1
72000,3,4,1
73000,3,4,1
74000,1,4,1
75000,2,4,1
76000,2,4,1
77000,3,4,1
78000,1,2,1
79000,1,3,0
80000,1,3,0
81000,1,3,0
82000,1,4,0
83000,2,3,1
84000,2,3,1
85000,2,4,1
86000,2,3,1
87000,3,4,1
88000,1,4,0
89000,1,4,1
90000,3,4,1
91000,1,4,0
92000,1,4,1
93000,1,2,1
94000,1,2,1
95000,1,4,1
96000,1,4,1
97000,1,4,1
98000,2,4,1
99000,1,2,1
100000,2,3,1
101000,1,3,1
102000,1,4,1
103000,1,4,1
104000,1,4,0
105000,1,4,1
106000,1,4,1
107000,1,2,1
108000,1,2,1
109000,2,4,1
110000,1,2,1
111000,2,3,1
112000,1,2,1
113000,3,4,1
114000,2,3,1
115000,1,4,1
116000,2,4,0
117000,2,4,0
118000,1,2,1
119000,2,3,1
120000,2,4,1
121000,1,2,1
122000,3,4,1
123000,2,3,1
124000,1,4,1
125000,1,2,1
126000,1,2,1
127000,1,2,1
128000,2,4,0
129000,1,3,1
130000,1,4,1
131000,3,4,1
132000,3,4,1
133000,1,4,1
134000,1,4,0
135000,1,3,0
136000,3,4,1
137000,1,4,0
138000,2,4,1
139000,2,4,1
140000,1,2,1
141000,2,3,1
142000,1,3,1
143000,3,4,1
144000,1,4,0
145000,3,4,1
146000,3,4,1
147000,1,3,0
148000,2,4,1
149000,2,3,1
150000,2,3,1
151000,3,4,1
152000,1,3,0
153000,1,2,0
154000,2,3,1
155000,1,3,1
156000,2,4,1
157000,1,2,1
158000,2,4,1
159000,3,4,1
160000,1,4,1
161000,3,4,1
162000,3,4,1
163000,1,2,1
164000,3,4,1
165000,2,3,1
166000,1,3,1
167000,1,3,0
168000,1,3,1
169000,1,2,1
170000,1,4,1
171000,1,4,1
172000,2,4,1
173000,1,4,0
174000,3,4,1
175000,2,4,1
176000,1,4,1
177000,3,4,1
178000,2,4,0
179000,3,4,1
180000,2,3,0
181000,3,4,1
182000,2,4,0
183000,2,4,1
184000,1,3,1
185000,3,4,1
186000,1,2,1
187000,3,4,1
188000,1,3,1
189000,2,4,1
190000,1,4,0
191000,1,3,1
192000,1,3,1
193000,3,4,1
194000,1,2,1
195000,1,3,0
196000,1,2,1
197000,2,3,1
198000,1,4,1
199000,2,4,1
200000,2,4,1
201000,1,4,1
202000,1,4,1
203000,1,4,1
204000,1,4,0
205000,2,4,1
206000,3,4,0
207000,1,3,1
208000,1,4,0
209000,1,3,1
210000,1,3,1
211000,3,4,1
212000,1,4,1
213000,2,3,1
214000,3,4,1
215000,3,4,1
216000,2,4,1
217000,1,2,1
218000,2,4,1
219000,1,4,1
220000,1,2,1
221000,2,4,1
222000,2,4,1
223000,2,4,1
224000,1,2,1
225000,2,4,1
226000,2,3,0
227000,1,4,1
228000,1,4,1
229000,2,4,1
230000,1,3,0
231000,3,4,1
232000,1,2,1
233000,2,4,1
234000,1,3,1
235000,2,3,1
236000,2,3,1
237000,1,3,1
238000,2,3,1
239000,1,3,1
240000,1,3,1
241000,1,4,1
242000,3,4,1
243000,1,3,1
244000,1,2,1
245000,1,2,1
246000,1,4,0
247000,1,3,1
248000,1,2,1
249000,1,3,1
250000,1,2,1
251000,1,2,0
252000,1,2,1
253000,1,3,1
254000,3,4,1
255000,1,4,1
256000,2,3,1
257000,1,2,1
258000,1,4,1
259000,1,3,1
260000,3,4,1
261000,2,3,1
262000,1,4,1
263000,1,4,1
264000,1,2,1
265000,1,2,1
266000,3,4,1
267000,1,2,0
268000,2,4,1
269000,1,4,1
270000,1,3,1
271000,1,3,1
272000,3,4,1
273000,1,2,1
274000,2,4,1
275000,3,4,1
276000,1,2,1
277000,1,2,1
278000,2,3,1
279000,2,3,1
280000,1,3,1
281000,3,4,1
282000,1,4,1
283000,3,4,1
284000,2,3,1
285000,1,4,1
286000,1,4,1
287000,3,4,1
288000,1,3,1
289000,2,4,1
290000,1,2,1
291000,2,3,1
292000,2,4,1
293000,1,3,1
294000,1,4,1
295000,1,2,1
296000,2,3,1
297000,2,3,1
298000,1,3,1
299000,1,4,0
300000,2,3,1
301000,3,4,1
302000,1,3,1
303000,1,4,1
304000,1,3,1
305000,1,3,0
306000,3,4,1
307000,1,3,1
308000,2,4,1
309000,1,3,1
310000,3,4,1
311000,2,3,1
312000,1,3,1
313000,1,3,1
314000,1,3,0
315000,1,4,1
316000,1,3,0
317000,3,4,1
318000,3,4,0
319000,1,3,1
320000,2,4,1
321000,1,2,1
322000,2,3,1
323000,1,2,1
324000,2,3,1
325000,1,3,1
326000,2,4,1
327000,1,4,1
328000,1,3,1
329000,1,4,1
330000,1,3,1
331000,2,3,1
332000,1,4,1
333000,1,4,1
334000,2,3,1
335000,3,4,1
336000,1,3,1
337000,1,4,1
338000,2,3,1
339000,2,4,1
340000,1,4,1
341000,1,2,1
342000,1,2,1
343000,2,3,1
344000,2,4,1
345000,2,4,1
346000,1,3,1
347000,1,3,1
348000,1,4,0
349000,1,3,0
350000,1,3,0
351000,2,3,1
352000,3,4,1
353000,3,4,1
354000,1,2,1
355000,1,4,0
356000,3,4,1
357000,2,4,1
358000,3,4,1
359000,1,4,1
360000,1,3,1
361000,2,4,1
362000,1,3,1
363000,2,4,0
364000,1,3,1
365000,1,3,1
366000,3,4,1
367000,2,3,1
368000,3,4,1
369000,3,4,1
370000,3,4,1
371000,2,4,1
372000,2,4,1
373000,2,4,1
374000,1,4,1
375000,2,4,1
376000,1,4,1
377000,1,3,0
378000,3,4,1
379000,1,4,0
380000,2,3,1
381000,1,2,1
382000,3,4,1
383000,2,4,0
384000,3,4,1
385000,1,3,1
386000,2,4,1
387000,2,4,1
388000,3,4,1
389000,1,3,1
390000,1,3,1
391000,1,3,1
392000,2,3,1
393000,1,3,1
394000,1,4,0
395000,2,4,1
396000,2,4,0
397000,1,4,0
398000,2,4,1
399000,1,4,1
400000,1,3,1
401000,2,3,1
402000,2,3,1
403000,2,4,1
404000,1,2,1
405000,1,4,0
406000,2,3,0
407000,3,4,1
408000,1,2,0
409000,2,4,1
410000,2,3,1
411000,3,4,1
412000,3,4,1
413000,1,2,0
414000,1,2,1
415000,2,3,1
416000,1,2,1
417000,2,4,1
418000,2,4,0
419000,1,2,1
420000,2,3,1
421000,2,4,0
422000,1,2,1
423000,1,3,1
424000,2,4,1
425000,2,3,1
426000,2,4,1
427000,1,3,0
428000,1,2,1
429000,1,2,1
430000,2,4,1
431000,3,4,1
432000,2,3,1
433000,1,3,1
434000,1,3,1
435000,2,4,0
436000,2,3,1
437000,1,2,1
438000,2,4,1
439000,1,3,1
440000,3,4,1
441000,3,4,1
442000,2,4,1
443000,1,4,0
444000,3,4,1
445000,1,2,1
446000,1,3,1
447000,1,2,1
448000,1,3,0
449000,1,3,0
450000,1,2,0
451000,2,4,1
452000,1,3,1
453000,2,4,0
454000,3,4,1
455000,2,4,1
456000,1,3,1
457000,2,4,1
458000,1,4,1
459000,3,4,1
460000,3,4,1
461000,2,3,1
462000,1,3,1
463000,1,3,1
464000,1,3,1
465000,2,4,1
466000,2,4,1
467000,2,3,1
468000,2,4,1
469000,2,3,1
470000,1,4,0
471000,1,3,1
472000,1,3,1
473000,3,4,1
474000,1,4,0
475000,2,4,1
476000,2,4,1
477000,1,2,1
478000,2,3,1
479000,1,3,1
480000,3,4,1
481000,2,4,1
482000,2,4,1
483000,2,3,0
484000,2,3,1
485000,3,4,1
486000,1,2,1
487000,2,4,1
488000,1,3,1
489000,2,3,1
490000,1,2,1
491000,1,3,1
492000,1,3,1
493000,2,4,1
494000,1,3,1
495000,2,3,1
496000,3,4,1
497000,1,2,1
498000,1,2,1
499000,3,4,1
500000,2,4,1
501000,1,4,1
502000,3,4,1
503000,1,3,1
504000,2,4,1
505000,1,4,1
506000,1,2,1
507000,1,2,1
508000,1,4,1
509000,1,4,1
510000,1,4,1
511000,1,4,1
512000,1,3,1
513000,3,4,1
514000,2,4,1
515000,2,4,1
516000,2,4,0
517000,2,3,1
518000,2,4,1
519000,2,4,1
520000,2,3,1
521000,1,4,1
522000,2,4,0
523000,1,3,1
524000,2,4,0
525000,2,4,0
526000,2,4,0
527000,3,4,1
528000,2,4,1
529000,1,2,0
530000,1,3,0
531000,1,4,1
532000,1,2,1
533000,3,4,1
534000,1,4,1
535000,2,3,1
536000,1,3,1
537000,2,4,0
538000,3,4,1
539000,3,4,1
540000,2,4,1
541000,1,3,1
542000,1,2,1
543000,2,3,1
544000,2,4,1
545000,3,4,1
546000,3,4,1
547000,3,4,1
548000,1,2,1
549000,2,3,1
550000,2,4,1
551000,3,4,1
552000,1,3,1
553000,1,4,1
554000,2,4,1
555000,2,3,1
556000,1,4,1
557000,1,3,1
558000,2,3,0
559000,3,4,1
560000,1,4,1
561000,1,3,1
562000,1,4,1
563000,1,3,1
564000,1,4,1
565000,2,3,1
566000,2,4,1
567000,1,4,1
568000,2,3,1
569000,2,4,1
570000,1,4,1
571000,2,3,1
572000,2,4,1
573000,1,2,1
574000,3,4,1
575000,2,4,0
576000,1,3,0
577000,2,3,0
578000,2,4,1
579000,3,4,1
580000,1,4,1
581000,3,4,1
582000,3,4,1
583000,1,4,1
584000,2,4,1
585000,3,4,1
586000,2,3,1
587000,1,3,1
588000,2,4,1
589000,3,4,1
590000,1,2,1
591000,2,3,1
592000,2,3,1
593000,3,4,1
594000,1,4,0
595000,2,4,1
596000,1,4,1
597000,1,3,1
598000,1,3,1
599000,3,4,1
600000,1,3,1
601000,1,3,1
602000,1,4,1
603000,3,4,0
604000,1,3,1
605000,2,4,1
606000,2,3,1
607000,1,2,1
608000,2,3,0
609000,1,4,0
610000,1,4,1
611000,3,4,1
612000,1,3,1
613000,1,4,1
614000,1,3,1
615000,2,4,1
616000,1,3,1
617000,1,2,1
618000,1,2,0
619000,2,4,1
620000,1,3,1
621000,2,4,0
622000,1,3,1
623000,1,4,0
624000,3,4,1
625000,3,4,1
626000,2,4,1
627000,1,4,0
628000,1,4,1
629000,1,3,0
630000,2,4,1
631000,2,3,1
632000,1,4,0
633000,3,4,0
634000,2,3,1
635000,1,3,1
636000,1,2,1
637000,1,4,0
638000,2,4,1
639000,2,3,1
640000,1,4,0
641000,3,4,1
642000,2,3,1
