generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.72423,-1566.35,1,0
1000,0,4.15778,-1306.86,0.594585,0.244755
2000,1,9.53761,-1293.87,0.0776335,0.257
3000,5,22.068,-1294.1,3.62811,0.368
4000,1,5.03193,-1291.87,0.485123,0.227443
5000,0,3.6228,-1302.62,0.896507,0.2138
6000,4,20.2879,-1292.47,1.80138,0.369667
7000,0,4.17683,-1300.8,0.55089,0.205
8000,1,5.46796,-1296.56,0.672193,0.352
9000,1,4.33455,-1293.72,1.29878,0.277
10000,2,10.1043,-1294.47,0.914438,0.324
11000,1,8.67221,-1292,0.407126,0.36
12000,0,4.32378,-1300.27,0.14584,0.158571
13000,0,3.98451,-1300.51,0.560302,0.218
14000,0,4.07991,-1302.08,0.178452,0.18613
15000,1,8.92243,-1297.99,1.18978,0.207
16000,2,4.3321,-1290.46,1.04017,0.335
17000,3,17.1069,-1290.34,0.833348,0.26525
18000,1,5.74724,-1292.02,2.09589,0.294857
19000,5,27.3217,-1283.79,1.15044,0.309
20000,2,13.098,-1288.48,1.1015,0.375
21000,2,10.4385,-1290.44,2.8066,0.341
22000,2,10.9787,-1287.76,1.49853,0.267267
23000,1,6.45515,-1291.1,1.58246,0.294
24000,0,3.96163,-1302.29,0.947137,0.2595
25000,0,4.51967,-1301.63,0.217546,0.194
26000,0,3.59149,-1300.74,0.99541,0.168
27000,2,7.20795,-1293.49,1.20397,0.309667
28000,2,12.0135,-1288.22,1.42543,0.332727
29000,1,7.04678,-1290.47,0.954012,0.319
30000,3,12.7185,-1292.57,3.21503,0.288
31000,2,10.1563,-1288.14,1.10304,0.358
32000,1,8.31931,-1290.84,0.332919,0.329
33000,2,10.3117,-1289.84,0.503113,0.3359
34000,1,5.54029,-1297.08,0.349278,0.296
35000,1,8.55321,-1291.37,0.434511,0.342667
36000,1,9.12025,-1290.13,0.308287,0.272
37000,1,7.93691,-1290.1,1.57204,0.293
38000,1,8.836,-1297.93,0.555581,0.27
39000,1,3.57192,-1298.03,2.04308,0.28
40000,1,2.32792,-1298.48,1.48884,0.329
41000,0,4.24624,-1300.33,0.215314,0.261667
42000,1,1.92329,-1296.69,0.313576,0.281
43000,1,5.37736,-1293.14,1.98094,0.2205
44000,1,6.7972,-1295.94,1.27424,0.319
45000,1,6.83387,-1293.32,1.67006,0.304
46000,1,7.40375,-1293.68,0.427902,0.306
47000,2,11.5906,-1294.03,1.59478,0.327
48000,1,6.45886,-1293.84,0.191692,0.32
49000,1,8.50448,-1294.3,0.171181,0.295
50000,1,6.90832,-1294.01,1.67848,0.297
51000,1,7.55479,-1293.77,1.54097,0.315
52000,1,7.52823,-1298.95,0.596093,0.33
53000,3,17.0996,-1280.08,1.15731,0.299636
54000,2,11.8348,-1283.55,0.879483,0.377
55000,2,12.8632,-1280.55,0.293501,0.328
56000,2,11.3558,-1284.15,2.06702,0.322
57000,2,10.0246,-1289.39,2.24993,0.278
58000,2,11.3789,-1288.9,1.64769,0.335
59000,3,14.7302,-1290.89,3.62308,0.354
60000,3,14.8636,-1281.98,1.01322,0.318
61000,0,3.96945,-1300.49,0.218201,0.252
62000,0,3.47437,-1300.96,0.449109,0.228778
63000,2,12.8188,-1283.32,0.597348,0.333333
64000,4,19.7042,-1280.16,2.46341,0.347
65000,0,3.45263,-1301.79,1.30093,0.185
66000,0,3.5688,-1300.58,0.636325,0.17575
67000,1,5.51775,-1299.03,0.649861,0.1755
68000,4,16.3312,-1296.04,5.75025,0.242333
69000,3,13.8789,-1293.11,1.02622,0.408
70000,2,8.38049,-1289.07,1.82393,0.387
71000,1,9.54642,-1291.65,0.393869,0.358
72000,0,3.32515,-1305.33,1.57561,0.28
73000,0,4.19518,-1302.08,0.641019,0.189
74000,3,14.0099,-1289.55,2.93871,0.335429
75000,1,6.00991,-1289.3,2.68363,0.36
76000,1,8.30704,-1290.49,0.733081,0.322
77000,1,7.59017,-1292.01,1.17613,0.291
78000,3,16.357,-1283.35,1.61357,0.338
79000,3,14.3236,-1283.32,2.36828,0.33
80000,4,18.5077,-1279.94,1.7709,0.364
81000,4,14.4533,-1283.12,1.6873,0.38
82000,6,23.8545,-1291.64,3.34194,0.404
83000,3,9.35927,-1277.09,1.26801,0.326
84000,4,16.6075,-1284.3,3.50489,0.339
85000,3,12.9298,-1278.46,2.41297,0.379
86000,3,13.9523,-1281.35,1.58417,0.328
87000,3,12.9846,-1279.06,2.06124,0.365
88000,3,12.3988,-1276.34,1.29896,0.322
89000,0,2.77175,-1300.48,1.24751,0.259826
90000,0,3.78134,-1299.99,0.152056,0.191
91000,0,3.89881,-1299.86,0.462611,0.161
