generation,rank_1,rank_2,swapAccepted
1000,2,3,1
2000,2,4,0
3000,1,3,0
4000,2,3,0
5000,1,3,0
6000,1,2,0
7000,1,4,0
8000,2,4,0
9000,1,2,1
10000,2,4,1
11000,1,4,1
12000,1,2,1
13000,3,4,1
14000,1,4,1
15000,2,4,1
16000,2,4,1
17000,1,3,1
18000,3,4,0
19000,2,3,1
20000,2,3,1
21000,1,4,1
22000,1,4,1
23000,1,2,0
24000,3,4,1
25000,3,4,1
26000,3,4,1
27000,2,4,1
28000,1,4,0
29000,3,4,1
30000,1,4,0
31000,1,4,0
32000,2,4,1
33000,2,3,1
34000,1,2,1
35000,2,3,1
36000,2,4,1
37000,2,3,1
38000,2,4,1
39000,1,2,1
40000,1,3,0
41000,1,2,1
42000,2,4,0
43000,1,2,1
44000,1,4,1
45000,1,3,0
46000,1,3,1
47000,1,2,1
48000,1,4,0
49000,1,2,1
50000,1,2,1
51000,1,4,1
52000,3,4,1
53000,1,2,0
54000,3,4,0
55000,1,3,1
56000,1,4,0
57000,1,4,0
58000,1,3,1
59000,2,4,0
60000,1,4,0
61000,1,3,1
62000,2,3,1
63000,3,4,1
64000,2,4,0
65000,2,4,0
66000,1,4,0
67000,1,2,1
68000,3,4,1
69000,3,4,1
70000,1,3,0
71000,1,3,1
72000,3,4,1
73000,1,4,1
74000,1,2,1
75000,2,4,1
76000,1,4,0
77000,2,4,1
78000,3,4,1
79000,2,3,1
80000,2,3,1
81000,3,4,1
82000,2,4,1
83000,3,4,0
84000,2,4,1
85000,1,3,0
86000,1,3,0
87000,3,4,1
88000,1,3,0
89000,2,4,1
90000,3,4,1
91000,1,3,0
92000,1,3,0
93000,1,3,0
94000,3,4,1
95000,1,3,0
96000,2,4,1
97000,1,4,0
98000,2,3,1
99000,2,3,1
100000,2,3,1
101000,3,4,1
102000,3,4,1
103000,1,3,0
104000,2,4,0
105000,1,3,0
106000,1,3,0
107000,2,3,1
108000,3,4,1
109000,2,4,0
110000,1,2,1
111000,1,2,1
112000,2,3,1
113000,2,3,1
114000,2,4,1
115000,1,4,0
116000,2,4,1
117000,1,4,0
118000,1,4,0
119000,2,3,1
120000,3,4,1
121000,1,4,0
122000,1,3,0
123000,2,4,1
124000,1,2,0
125000,1,2,0
126000,2,4,1
127000,2,3,1
128000,3,4,1
129000,1,2,0
130000,1,4,0
131000,1,3,0
132000,3,4,1
133000,1,3,0
134000,3,4,1
135000,1,2,1
136000,2,3,1
137000,1,3,1
138000,1,4,0
139000,1,3,1
140000,1,4,1
141000,1,2,1
142000,1,3,1
143000,3,4,1
144000,2,4,1
145000,1,4,1
146000,2,4,1
147000,1,4,1
148000,2,3,1
149000,2,3,0
150000,2,3,1
151000,2,3,1
152000,2,3,1
153000,1,2,1
154000,1,4,1
155000,3,4,1
156000,1,2,1
157000,1,4,1
158000,2,3,1
159000,2,3,1
160000,1,4,1
161000,2,4,1
162000,2,3,1
163000,1,4,0
164000,2,4,1
165000,2,3,1
166000,2,4,1
167000,3,4,1
168000,1,4,1
169000,1,2,0
170000,1,4,1
171000,1,4,1
172000,1,2,1
173000,3,4,1
174000,1,3,1
175000,1,2,1
176000,1,2,0
177000,3,4,1
178000,1,4,1
179000,1,3,0
180000,1,3,1
181000,1,2,1
182000,2,3,1
183000,1,2,1
184000,2,4,1
185000,2,4,1
186000,1,4,0
187000,1,2,1
188000,3,4,1
189000,1,4,1
190000,2,4,1
191000,2,3,1
192000,1,2,1
193000,1,4,0
194000,1,2,1
195000,2,3,1
196000,1,2,1
197000,2,3,0
198000,1,2,1
199000,2,4,1
200000,1,3,1
201000,3,4,1
202000,1,4,1
203000,1,4,0
204000,1,4,0
205000,1,3,1
206000,1,4,1
207000,1,4,1
208000,2,4,1
209000,2,4,0
210000,2,3,1
211000,3,4,1
212000,2,4,1
213000,2,4,1
214000,1,2,1
215000,3,4,1
216000,1,3,1
217000,1,3,0
218000,2,4,1
219000,1,3,1
220000,1,3,1
221000,1,3,1
222000,3,4,1
223000,2,3,1
224000,2,4,1
225000,3,4,1
226000,1,4,0
227000,1,3,0
228000,2,3,1
229000,3,4,1
230000,1,4,0
231000,1,3,0
232000,2,3,1
233000,2,4,1
234000,1,4,0
235000,1,4,0
236000,2,4,1
237000,2,4,1
238000,2,4,1
239000,1,2,0
240000,2,4,1
241000,1,3,0
242000,2,3,1
243000,1,3,0
244000,2,3,1
245000,2,4,1
246000,2,4,1
247000,3,4,1
248000,2,4,0
249000,1,3,1
250000,2,3,1
251000,1,4,1
252000,1,2,1
253000,1,3,0
254000,1,2,1
255000,1,3,1
256000,1,2,1
257000,1,2,0
258000,2,3,1
259000,3,4,1
260000,1,4,1
261000,1,3,1
262000,1,4,1
263000,1,3,0
264000,3,4,1
265000,3,4,1
266000,2,4,0
267000,3,4,1
268000,2,4,1
269000,2,4,1
270000,3,4,1
271000,3,4,1
272000,2,3,0
273000,3,4,1
274000,1,3,0
275000,2,4,0
276000,3,4,1
277000,1,4,1
278000,3,4,1
279000,1,3,0
280000,1,2,1
281000,1,3,1
282000,2,3,1
283000,2,4,1
284000,1,2,1
285000,2,4,1
286000,1,3,1
287000,2,3,1
288000,2,3,1
289000,2,4,0
290000,2,4,1
291000,1,2,1
292000,1,3,0
293000,1,2,0
294000,2,3,1
295000,2,3,0
296000,2,4,1
297000,2,4,1
298000,3,4,1
299000,2,3,1
300000,1,4,0
301000,1,2,0
302000,3,4,1
303000,1,2,0
304000,1,4,0
305000,2,4,1
306000,2,3,1
307000,1,4,1
308000,1,3,1
309000,1,3,1
310000,1,3,1
311000,1,3,1
312000,1,3,1
313000,1,4,1
314000,2,3,1
315000,3,4,1
316000,2,4,1
317000,1,4,0
318000,1,4,0
319000,2,3,1
320000,1,2,0
321000,1,4,0
322000,3,4,1
323000,1,4,0
324000,1,4,0
325000,1,4,0
326000,1,3,0
327000,3,4,1
328000,2,4,1
329000,3,4,1
330000,3,4,1
331000,2,3,1
332000,2,3,1
333000,3,4,1
334000,2,4,1
335000,2,3,1
336000,1,2,1
337000,2,4,1
338000,1,2,1
339000,1,3,1
340000,1,3,1
341000,1,3,1
342000,2,3,1
343000,1,4,1
344000,2,3,1
345000,2,4,1
346000,3,4,0
347000,2,3,1
348000,2,3,1
349000,1,4,1
350000,2,4,1
351000,1,3,0
352000,1,2,1
353000,1,2,1
354000,3,4,1
355000,1,3,1
356000,2,3,1
357000,2,3,1
358000,3,4,1
359000,1,2,1
360000,1,4,1
361000,1,3,1
362000,2,4,1
363000,3,4,1
364000,1,2,1
365000,2,3,1
366000,1,2,1
367000,1,2,1
368000,1,4,1
369000,3,4,1
370000,2,4,1
371000,1,4,0
372000,1,4,0
373000,1,4,1
374000,3,4,1
375000,1,4,1
376000,2,3,1
377000,1,2,1
378000,2,4,0
379000,3,4,1
380000,1,2,1
381000,1,2,1
382000,3,4,1
383000,1,3,1
384000,1,3,1
385000,1,2,1
386000,1,3,1
387000,2,4,1
388000,3,4,1
389000,3,4,0
390000,3,4,1
391000,1,4,1
392000,1,2,0
393000,1,3,0
394000,1,4,0
395000,1,4,1
396000,1,4,1
397000,3,4,1
398000,1,4,0
399000,1,3,0
400000,2,4,1
401000,1,2,1
402000,3,4,1
403000,2,3,0
404000,2,3,1
405000,1,3,1
406000,2,3,1
407000,1,2,1
408000,1,2,1
409000,2,4,1
