generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.75011,-1727.83,1,1
1000,1,8.93022,-1567.99,1.41823,0.297
2000,3,8.6477,-1560.09,1.65703,0.2595
3000,3,12.1122,-1555,1.06712,0.25
4000,1,6.02348,-1550.08,0.450073,0.2325
5000,1,5.39319,-1552.14,0.888708,0.248
6000,3,11.2643,-1541.36,2.83957,0.257
7000,2,6.62469,-1544.38,2.0091,0.231
8000,2,7.51114,-1541.18,1.46338,0.23
9000,1,9.69741,-1553.4,0.372544,0.175536
10000,1,9.65789,-1553.83,1.14093,0.176482
11000,2,15.0141,-1553.55,1.68901,0.245667
12000,2,7.96699,-1541.74,1.9236,0.203816
13000,4,16.6846,-1541.2,2.07321,0.263
14000,3,10.6735,-1540.36,1.3006,0.212985
15000,3,11.7415,-1541.42,1.69842,0.248
16000,3,11.7682,-1545.01,0.726686,0.232
17000,3,16.6132,-1539.98,4.20292,0.253857
18000,3,15.4316,-1541.52,2.65218,0.25425
19000,2,13.0161,-1544.87,0.737213,0.243
20000,2,13.9483,-1545.48,0.3936,0.246
21000,2,14.7103,-1546.82,1.86496,0.237222
22000,3,15.0329,-1547.65,2.0368,0.2245
23000,2,14.5124,-1548.55,0.294888,0.224
24000,3,16.8618,-1538.09,1.70189,0.2425
25000,3,16.563,-1542.59,2.20354,0.24
26000,7,27.637,-1540.89,5.04929,0.2695
27000,3,14.0367,-1535.93,2.78125,0.27
28000,3,9.88254,-1540.49,2.67728,0.243
29000,3,14.6673,-1538.75,2.44449,0.214
30000,5,16.5146,-1530.24,3.50257,0.2405
31000,3,18.1315,-1538.43,1.02867,0.284
32000,2,9.9778,-1536.62,2.17033,0.263
33000,3,16.3827,-1536.55,2.32273,0.233
34000,2,14.7682,-1550.27,2.30166,0.247115
35000,2,14.8965,-1544.4,0.972665,0.262
36000,1,9.75745,-1546.99,0.794156,0.254
37000,1,10.1965,-1547.99,0.666879,0.238
38000,1,8.93781,-1547.9,1.87071,0.239
39000,3,15.5743,-1547.79,1.17502,0.237852
40000,3,15.75,-1546.46,1.33956,0.236464
41000,1,10.4524,-1546.99,0.185911,0.211
42000,1,9.11601,-1548.89,1.11597,0.21425
43000,5,23.5721,-1533.67,2.16294,0.253333
44000,2,5.06876,-1540.44,2.55025,0.233833
45000,2,7.14989,-1537.49,1.05028,0.234
46000,1,8.64822,-1546.31,0.537149,0.236433
47000,2,10.6763,-1544.08,1.04018,0.2284
48000,3,16.4742,-1538.37,2.0492,0.237
49000,1,7.29775,-1545.51,1.7876,0.238333
50000,2,11.3956,-1549.01,0.363784,0.235
51000,5,14.2775,-1540.08,2.86344,0.239545
52000,3,14.3804,-1540.67,0.868682,0.243583
53000,5,19.8636,-1542.86,4.97356,0.288
54000,4,16.9621,-1542.21,3.69675,0.272
55000,2,12.8425,-1539.96,2.28024,0.248
56000,3,20.0378,-1541.05,1.75687,0.248
57000,2,11.5481,-1539.91,3.00013,0.237
58000,6,20.8091,-1536.11,2.4671,0.26075
59000,7,25.5709,-1531.05,2.46294,0.26
60000,5,18.1145,-1527.13,3.80971,0.267
61000,2,11.2177,-1538.9,3.6166,0.2384
62000,2,13.139,-1541.98,0.718885,0.240833
63000,3,13.9263,-1540.56,1.59425,0.243
64000,3,14.0909,-1541.66,2.39981,0.2545
65000,3,16.8242,-1538.21,0.567745,0.253
66000,3,17.5354,-1533.81,3.76473,0.2455
67000,3,16.4828,-1538.6,1.03036,0.278286
68000,4,20.0171,-1544.38,3.16714,0.2755
69000,3,14.4634,-1540.73,1.17307,0.271
70000,6,20.186,-1547.19,3.8822,0.2825
71000,1,10.0241,-1545.3,0.167096,0.238963
72000,1,8.71471,-1546.85,1.12926,0.238286
73000,7,22.6339,-1533.24,5.78043,0.251333
74000,5,23.906,-1520.12,2.82207,0.245375
75000,5,26.2233,-1517.16,4.23968,0.258
76000,5,26.1268,-1516.49,1.85833,0.255
77000,5,24.052,-1518.45,4.73695,0.282
78000,6,30.1319,-1520.38,2.97654,0.27
79000,5,28.9349,-1523.01,1.365,0.264
80000,5,28.4414,-1532.96,2.3884,0.29
81000,5,23.0222,-1526.57,6.30308,0.275
82000,5,26.5563,-1518.78,2.0209,0.294
83000,5,26.8704,-1522.46,1.37278,0.274
84000,8,32.3363,-1513.02,6.81483,0.271
85000,5,17.3166,-1521.42,5.91339,0.298
86000,6,32.1983,-1517.06,2.39387,0.2865
87000,5,28.5465,-1527.37,1.99605,0.27
88000,4,22.1985,-1527.17,1.09812,0.2755
89000,4,20.08,-1525.9,3.38547,0.303
90000,6,23.6105,-1522.32,4.22086,0.288
91000,4,25.0244,-1526.44,1.48727,0.3
92000,5,23.1795,-1526.65,3.66478,0.2715
93000,4,18.2684,-1522.53,2.32222,0.247
94000,4,15.3698,-1524.11,3.35987,0.2605
95000,5,27.889,-1528.38,2.1818,0.269
96000,4,20.4827,-1526.44,4.65349,0.263
97000,4,26.7867,-1521.6,0.398068,0.241
98000,5,26.5874,-1522.77,3.13524,0.2545
99000,4,22.6821,-1520.56,2.60666,0.26
100000,4,24.5387,-1526.13,1.43976,0.269
101000,4,23.0697,-1526.28,1.85493,0.248
102000,4,20.9113,-1521.19,0.958049,0.2535
103000,4,22.6925,-1526.71,3.30958,0.251
104000,4,24.4479,-1522.78,2.69636,0.258
105000,4,26.8527,-1523.99,0.828988,0.262
106000,4,21.2043,-1523.99,3.11127,0.277
107000,4,23.1991,-1523.5,2.11535,0.28
108000,5,26.0123,-1524.9,3.06664,0.2745
109000,7,29.7527,-1519.2,9.95506,0.304
110000,1,8.46809,-1546.04,0.362449,0.2423
111000,6,24.2739,-1524.78,4.38178,0.272667
112000,4,20.5749,-1531.63,2.05904,0.2705
113000,4,23.6155,-1527.04,1.46788,0.255
114000,7,24.8782,-1524.96,4.54256,0.268
115000,9,33.8552,-1523.46,5.40944,0.315
116000,7,28.3697,-1516.92,2.74743,0.2975
117000,8,34.0548,-1525.51,4.01811,0.273
118000,6,32.5966,-1518.39,2.86415,0.288
119000,7,32.9201,-1508.59,3.76527,0.286
120000,8,37.337,-1515.3,4.28538,0.2925
121000,6,26.7695,-1516.66,4.65734,0.312
122000,8,25.6914,-1516.69,3.85652,0.299
123000,5,27.1599,-1525.3,2.15062,0.283
124000,4,17.7056,-1532.64,3.14172,0.2545
125000,5,26.2471,-1532.12,3.60677,0.264
