generation,rank_1,rank_2,swapAccepted
1000,1,4,0
2000,2,3,0
3000,2,4,1
4000,2,4,1
5000,2,4,1
6000,2,3,1
7000,1,2,1
8000,1,4,0
9000,3,4,1
10000,1,4,0
11000,1,4,0
12000,2,4,1
13000,2,4,1
14000,2,3,1
15000,2,4,1
16000,2,3,1
17000,3,4,1
18000,2,4,1
19000,1,4,0
20000,2,3,0
21000,2,4,0
22000,1,3,0
23000,1,4,0
24000,1,3,1
25000,1,2,1
26000,1,3,1
27000,1,4,0
28000,1,4,1
29000,2,3,1
30000,1,2,0
31000,2,3,1
32000,2,4,1
33000,1,4,0
34000,1,3,0
35000,1,2,1
36000,1,4,1
37000,2,3,1
38000,1,2,1
39000,2,3,1
40000,2,3,0
41000,1,3,0
42000,1,4,0
43000,2,4,1
44000,2,3,1
45000,1,2,0
46000,2,3,1
47000,1,3,0
48000,2,4,0
49000,1,4,0
50000,1,3,0
51000,1,2,1
52000,1,4,0
53000,3,4,1
54000,3,4,1
55000,3,4,1
56000,1,4,1
57000,2,4,0
58000,1,4,1
59000,2,4,0
60000,2,3,0
61000,1,2,1
62000,3,4,1
63000,1,3,0
64000,1,3,0
65000,1,3,0
66000,3,4,1
67000,2,4,0
68000,3,4,1
69000,1,4,0
70000,2,4,0
71000,3,4,1
72000,3,4,0
73000,2,4,0
74000,1,3,0
75000,2,3,0
76000,3,4,1
77000,2,4,0
78000,1,3,0
79000,2,4,0
80000,3,4,1
81000,2,3,1
82000,2,3,1
83000,2,3,1
84000,1,4,0
85000,2,4,1
86000,1,2,0
87000,2,4,1
88000,2,4,0
89000,1,4,0
90000,3,4,0
91000,2,3,1
92000,1,4,0
93000,1,2,0
94000,2,3,0
95000,1,2,0
96000,2,4,1
97000,2,4,1
98000,1,4,0
99000,2,4,1
100000,1,3,1
101000,1,3,0
102000,3,4,1
103000,2,4,1
104000,3,4,1
105000,1,4,0
106000,1,2,0
107000,1,3,0
108000,1,4,0
109000,1,4,1
110000,2,4,1
111000,1,3,1
