generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.54998,-1820.93,1.33086,1
1000,0,0.953579,-1603.44,0.295144,0.21
2000,1,5.89015,-1577.77,0.807952,0.203
3000,1,5.29259,-1571.53,1.00695,0.253
4000,3,5.23092,-1555.95,2.42964,0.233
5000,3,5.0214,-1550.95,3.19881,0.29
6000,3,9.85378,-1556.72,2.5596,0.277
7000,5,17.7769,-1537.25,3.83308,0.25025
8000,7,25.7955,-1535.37,3.35297,0.253718
9000,7,25.2251,-1523.98,3.61904,0.294
10000,8,33.8111,-1528.06,4.07629,0.303
11000,7,29.439,-1524.64,5.4538,0.267
12000,9,39.6767,-1525.7,7.31039,0.2785
13000,6,29.7682,-1526.4,2.5877,0.293
14000,7,31.6213,-1532.31,3.49186,0.302
15000,7,32.3907,-1530.44,1.95161,0.295
16000,9,20.4919,-1529.61,7.63328,0.3085
17000,14,51.5699,-1529.06,6.64241,0.341
18000,6,25.2875,-1525.88,1.88486,0.339
19000,7,31.7443,-1525.97,3.3826,0.269
20000,10,39.7368,-1521.14,3.93122,0.2775
21000,7,23.3222,-1519.67,4.86759,0.304
22000,8,26.0897,-1527.66,7.2799,0.3295
23000,12,31.9956,-1521.4,4.72303,0.312
24000,8,21.5386,-1538.13,3.49723,0.27153
25000,2,10.6174,-1557.38,0.920784,0.271989
26000,8,30.3398,-1519.24,2.87167,0.31
27000,6,27.8965,-1523.08,1.50597,0.331
28000,6,23.5634,-1525.07,2.42512,0.277409
29000,6,25.6222,-1533.68,4.55699,0.257
30000,7,32.671,-1532.56,4.76267,0.291
31000,5,20.6117,-1531.41,1.41601,0.312
32000,5,24.0571,-1533.41,2.48552,0.309
33000,4,16.2599,-1542.47,3.21358,0.296
34000,5,19.7967,-1538.68,3.01229,0.2945
35000,4,17.9479,-1536.48,2.32594,0.306333
36000,5,13.967,-1535.9,4.74078,0.293167
37000,4,16.7633,-1543.35,1.48688,0.285
38000,7,20.5339,-1530.38,7.08381,0.277651
39000,9,35.1828,-1518.51,3.83273,0.304
40000,8,30.5684,-1520.96,3.63317,0.3135
41000,7,35.0285,-1518.9,2.59059,0.288
42000,10,40.5889,-1519.94,7.56945,0.2995
43000,8,33.4281,-1516.57,5.6772,0.3
44000,8,38.3153,-1525.6,2.73024,0.294
45000,6,27.5188,-1525.99,4.78582,0.305
46000,6,27.3081,-1524.19,4.05439,0.305
47000,9,33.6197,-1516.43,4.45547,0.333
48000,9,35.0165,-1516.77,3.23007,0.3175
49000,8,34.7059,-1522.09,4.70424,0.329
50000,6,27.8461,-1523.17,7.00215,0.3165
51000,7,28.9045,-1532.32,3.44402,0.29512
52000,5,19.5907,-1535.26,3.26592,0.294808
53000,5,17.3644,-1547.47,1.46235,0.261
54000,3,15.8583,-1548.81,1.1473,0.2635
55000,5,19.1093,-1553.2,4.09399,0.263
56000,5,20.819,-1533.34,2.83014,0.2794
57000,4,16.8194,-1537.86,3.313,0.291
58000,6,22.1474,-1547.35,2.65561,0.27425
59000,4,17.8454,-1542.51,3.68513,0.282
60000,7,26.7785,-1541.61,3.91667,0.28
61000,6,28.9701,-1523.45,2.58494,0.300364
62000,6,28.1971,-1527.07,4.17265,0.298667
63000,8,32.8049,-1519.46,3.57463,0.295
64000,7,34.8261,-1522.04,2.61961,0.3005
65000,8,38.2433,-1538.76,4.24391,0.311
66000,4,21.3213,-1545.9,2.46665,0.3125
67000,5,19.2253,-1534.59,4.92107,0.277
68000,5,29.6162,-1534.59,1.69042,0.2825
69000,6,37.5524,-1540.11,3.23295,0.315
