generation,rank_1,rank_2,swapAccepted
1000,1,3,1
2000,1,2,1
3000,2,4,1
4000,3,4,1
5000,3,4,0
6000,1,2,1
7000,3,4,1
8000,2,3,1
9000,1,3,1
10000,2,3,1
11000,1,3,0
12000,1,3,1
13000,3,4,1
14000,2,3,1
15000,3,4,1
16000,3,4,1
17000,3,4,1
18000,3,4,0
19000,1,4,1
20000,3,4,1
21000,3,4,1
22000,1,2,1
23000,1,3,1
24000,1,2,1
25000,3,4,1
26000,2,3,0
27000,2,3,0
28000,1,3,1
29000,1,4,1
30000,2,4,0
31000,1,4,1
32000,3,4,1
33000,1,2,1
34000,2,4,1
35000,1,2,1
36000,1,2,1
37000,2,4,0
38000,2,3,1
39000,1,3,0
40000,2,4,1
41000,1,2,1
42000,2,3,1
43000,2,4,1
44000,2,4,1
45000,2,3,1
46000,3,4,1
47000,3,4,1
48000,2,4,1
49000,1,4,1
50000,2,3,1
51000,2,3,1
52000,2,4,1
53000,2,3,1
54000,3,4,1
55000,1,2,1
56000,3,4,1
57000,1,3,1
58000,1,4,1
59000,1,2,1
60000,2,4,1
61000,3,4,1
62000,2,3,1
63000,3,4,1
64000,1,3,1
65000,1,3,1
66000,1,2,1
67000,1,4,1
68000,1,3,1
69000,3,4,1
70000,2,4,1
71000,3,4,1
72000,1,4,1
73000,1,4,1
74000,1,4,1
75000,2,3,1
76000,1,3,1
77000,2,4,1
78000,2,3,1
79000,1,3,1
80000,1,3,1
81000,1,2,1
82000,3,4,1
83000,2,3,1
84000,1,4,1
85000,1,2,1
86000,2,4,1
87000,3,4,1
88000,1,2,1
89000,1,4,0
90000,2,3,1
91000,1,4,1
92000,3,4,1
93000,1,3,1
94000,3,4,1
95000,1,2,1
96000,2,3,1
97000,1,2,1
98000,1,3,1
99000,3,4,1
100000,1,2,1
101000,1,3,1
102000,3,4,1
103000,1,2,1
104000,3,4,1
105000,1,4,0
106000,2,3,1
107000,1,4,0
108000,2,3,1
109000,1,2,1
110000,3,4,1
111000,3,4,1
112000,2,3,0
113000,1,2,1
114000,2,4,1
115000,2,4,1
116000,3,4,1
117000,1,4,0
118000,2,3,1
119000,2,3,1
120000,2,3,1
121000,2,3,0
122000,3,4,1
123000,1,3,0
124000,3,4,1
125000,2,4,1
126000,1,2,1
127000,1,3,1
128000,2,3,1
129000,1,4,1
130000,3,4,1
131000,2,4,1
132000,3,4,0
133000,3,4,1
134000,2,3,0
135000,2,3,0
136000,1,2,1
137000,1,4,0
138000,3,4,1
139000,1,2,1
140000,3,4,1
141000,2,4,0
142000,1,2,1
143000,3,4,1
144000,1,3,1
145000,3,4,0
146000,1,2,1
147000,2,3,1
148000,1,4,1
149000,1,3,0
150000,1,2,1
151000,2,3,1
152000,1,4,0
153000,1,3,0
154000,1,4,0
155000,1,2,1
156000,2,4,0
157000,2,3,1
158000,2,3,1
159000,2,3,1
160000,1,3,1
161000,3,4,1
162000,2,3,1
163000,1,3,0
164000,1,4,0
165000,1,4,0
166000,2,4,1
167000,1,3,0
168000,2,4,1
169000,2,3,1
170000,1,3,0
171000,2,3,1
172000,1,4,0
173000,1,2,0
174000,1,4,0
175000,1,4,0
176000,2,3,1
177000,2,3,1
178000,3,4,0
179000,3,4,1
180000,3,4,1
181000,1,4,0
182000,2,4,1
183000,3,4,1
184000,2,3,1
185000,2,4,1
186000,2,3,1
187000,1,2,0
188000,1,4,1
189000,3,4,1
190000,3,4,1
191000,1,2,1
192000,1,4,1
193000,1,3,0
194000,2,3,1
195000,1,3,1
196000,1,4,1
197000,3,4,1
198000,2,4,1
199000,1,2,1
200000,3,4,1
201000,1,3,1
202000,1,4,1
203000,3,4,1
204000,3,4,1
205000,1,2,0
206000,3,4,1
207000,1,3,0
208000,2,4,1
209000,2,3,1
210000,1,2,1
211000,1,4,1
212000,2,3,1
213000,3,4,1
214000,3,4,1
215000,1,4,1
216000,2,4,0
217000,1,4,1
218000,3,4,1
219000,2,3,1
220000,2,3,1
221000,3,4,1
222000,1,2,1
223000,1,3,1
224000,1,3,1
225000,3,4,1
226000,2,3,1
227000,1,3,0
228000,1,2,1
229000,2,4,0
230000,1,3,1
231000,1,3,1
232000,1,2,1
233000,3,4,1
234000,1,4,0
235000,1,2,0
236000,1,2,1
237000,3,4,1
238000,3,4,1
239000,2,3,1
240000,1,3,1
241000,2,3,0
242000,1,3,1
243000,3,4,1
244000,1,2,1
245000,2,4,1
246000,1,4,0
247000,2,3,0
248000,2,4,0
249000,3,4,1
250000,1,2,0
251000,2,4,0
252000,1,3,0
253000,1,2,0
254000,3,4,1
255000,1,4,0
256000,2,4,1
257000,2,4,0
258000,1,3,0
259000,2,3,1
260000,3,4,0
261000,2,3,1
262000,2,3,1
263000,1,4,0
264000,2,4,1
265000,3,4,1
266000,1,3,0
267000,1,4,0
268000,3,4,1
269000,1,2,1
270000,1,4,1
271000,1,4,0
272000,1,4,0
273000,2,4,1
274000,3,4,1
275000,2,4,1
276000,2,3,1
277000,1,3,1
278000,3,4,1
279000,2,3,1
280000,1,2,1
281000,2,4,0
282000,2,4,1
283000,1,2,1
284000,2,3,1
285000,3,4,1
286000,1,3,1
287000,1,2,1
288000,1,3,1
289000,2,3,1
290000,1,2,1
291000,1,4,1
292000,1,4,1
293000,1,2,1
294000,1,4,0
295000,3,4,1
296000,1,2,1
297000,2,4,1
298000,2,3,1
299000,1,2,1
300000,1,3,1
301000,1,4,0
302000,1,3,0
303000,3,4,1
304000,1,2,1
305000,3,4,0
306000,2,3,1
307000,2,3,1
308000,1,4,1
309000,2,3,1
310000,1,2,1
311000,3,4,1
312000,3,4,1
313000,1,3,1
314000,1,3,1
315000,2,3,1
316000,1,3,1
317000,1,2,1
318000,2,3,1
319000,1,4,1
320000,2,4,1
321000,2,4,1
322000,1,4,1
323000,2,4,1
324000,2,3,1
325000,2,3,1
326000,2,4,1
327000,1,2,1
328000,3,4,1
329000,3,4,1
330000,2,4,1
331000,3,4,1
332000,2,4,1
333000,2,3,1
334000,1,4,1
335000,1,4,1
336000,2,3,1
337000,1,2,1
338000,2,3,1
339000,2,4,1
340000,3,4,1
341000,1,2,1
342000,3,4,0
343000,3,4,1
344000,1,2,1
345000,2,4,1
346000,3,4,1
347000,1,4,1
348000,3,4,1
349000,2,4,1
350000,1,2,1
351000,1,2,1
352000,1,4,1
353000,1,2,1
354000,1,2,1
355000,1,4,0
356000,1,4,0
357000,2,3,0
358000,2,3,1
359000,1,2,1
360000,1,3,1
361000,1,4,0
362000,1,3,1
363000,2,3,1
364000,1,2,1
365000,3,4,1
366000,1,4,0
367000,1,2,1
368000,1,2,1
369000,1,2,0
370000,1,2,1
371000,2,4,1
372000,2,3,1
373000,3,4,1
374000,3,4,1
375000,2,4,1
376000,2,4,1
377000,3,4,1
378000,1,4,1
379000,1,4,1
380000,1,2,1
381000,2,3,0
382000,2,4,1
383000,1,3,0
384000,2,3,0
385000,2,3,0
386000,2,3,0
387000,3,4,1
388000,2,4,0
389000,2,4,1
390000,1,4,0
391000,2,3,1
392000,2,4,1
393000,2,4,1
394000,2,4,1
395000,3,4,0
396000,2,3,1
397000,1,3,0
398000,2,4,1
399000,1,3,0
400000,1,3,0
401000,1,3,0
402000,1,3,0
403000,1,3,0
404000,1,4,0
405000,2,4,1
406000,3,4,1
407000,1,4,1
408000,3,4,1
409000,3,4,1
410000,1,2,1
411000,3,4,1
412000,1,2,1
413000,1,2,0
414000,3,4,1
415000,1,3,0
416000,1,3,1
417000,1,2,1
418000,1,2,1
419000,2,3,1
420000,2,4,1
421000,1,3,1
422000,2,4,1
423000,1,2,1
424000,1,3,1
425000,3,4,1
426000,1,4,1
427000,1,2,1
428000,1,4,1
429000,2,3,1
430000,2,4,0
431000,1,4,1
432000,1,2,1
433000,1,3,1
434000,1,2,1
435000,2,3,1
436000,1,4,1
437000,2,3,0
438000,1,2,0
439000,3,4,1
440000,2,3,1
441000,1,3,1
442000,1,2,1
443000,1,3,1
444000,2,3,1
445000,1,3,1
446000,1,2,0
447000,1,2,0
448000,1,3,1
449000,1,2,1
450000,3,4,0
451000,2,3,1
452000,1,2,1
453000,2,3,1
454000,1,4,1
455000,2,3,1
456000,1,4,1
457000,3,4,1
458000,1,3,1
459000,1,3,1
460000,3,4,1
461000,2,3,0
462000,1,4,1
463000,1,4,1
464000,1,2,1
465000,3,4,1
466000,2,4,1
467000,1,3,1
468000,1,4,1
469000,1,2,0
470000,2,4,1
471000,1,3,0
472000,3,4,1
473000,1,3,0
474000,1,2,1
475000,2,4,1
476000,1,2,0
477000,2,3,1
478000,1,3,1
479000,2,4,0
480000,1,2,1
481000,2,4,0
482000,1,2,1
483000,2,3,0
484000,1,3,1
485000,1,4,1
486000,1,2,1
487000,1,2,0
488000,3,4,1
489000,1,3,0
490000,1,3,0
491000,1,4,1
492000,3,4,1
493000,1,4,1
494000,2,3,1
495000,2,4,1
496000,2,3,1
497000,2,3,1
498000,2,4,1
499000,1,3,0
500000,2,4,1
501000,2,4,1
502000,1,3,1
503000,1,2,1
504000,2,4,1
505000,1,2,1
506000,1,2,1
507000,2,3,1
508000,2,3,0
509000,1,4,1
510000,1,3,1
511000,1,4,1
512000,1,3,1
513000,3,4,1
514000,1,4,1
515000,2,3,1
516000,3,4,1
517000,1,4,1
518000,2,4,1
519000,1,3,1
520000,1,3,1
521000,1,3,1
522000,1,4,1
523000,2,4,0
524000,1,3,0
525000,1,4,0
526000,3,4,1
527000,2,3,0
528000,2,4,0
529000,3,4,1
530000,1,4,0
531000,1,3,0
532000,1,4,0
533000,1,3,1
534000,1,4,0
535000,3,4,1
536000,2,4,0
537000,1,2,1
538000,1,3,0
539000,2,4,1
540000,1,3,0
541000,1,3,0
542000,2,4,0
543000,1,4,0
544000,1,4,1
545000,2,4,1
546000,2,4,1
547000,1,4,1
548000,1,3,1
549000,1,3,1
550000,1,4,0
551000,1,3,0
552000,2,4,1
553000,2,4,1
554000,3,4,1
555000,1,4,1
556000,1,2,1
557000,1,2,1
558000,1,3,0
559000,2,3,1
560000,2,3,1
561000,1,2,1
562000,1,4,1
563000,1,3,0
564000,3,4,1
565000,1,2,1
566000,2,3,0
567000,3,4,1
568000,2,3,1
569000,2,3,1
570000,1,3,1
571000,1,3,1
572000,2,4,0
573000,2,3,1
574000,1,4,1
575000,2,4,1
576000,1,2,1
577000,2,4,0
578000,2,3,1
579000,1,2,1
580000,1,4,0
581000,2,3,1
582000,2,4,1
583000,1,4,0
584000,2,4,1
585000,2,4,0
586000,1,4,1
587000,1,2,1
588000,2,4,1
589000,3,4,1
590000,3,4,1
591000,2,3,1
592000,1,2,1
593000,1,2,1
594000,1,3,0
595000,3,4,1
596000,1,3,1
597000,3,4,1
598000,1,4,0
599000,1,4,1
600000,1,4,1
601000,2,3,1
602000,1,2,0
603000,2,4,1
604000,1,2,1
605000,1,3,0
606000,1,2,1
607000,1,4,0
608000,2,3,0
609000,3,4,1
610000,1,2,1
611000,2,3,0
612000,1,3,0
613000,1,4,1
614000,2,4,1
615000,1,3,0
616000,3,4,1
617000,2,3,1
618000,1,4,1
619000,1,2,1
620000,1,4,1
621000,1,4,1
622000,2,3,1
623000,3,4,1
624000,3,4,0
625000,1,2,0
626000,2,3,1
627000,3,4,1
628000,3,4,1
629000,3,4,1
630000,1,4,1
631000,1,3,1
632000,2,3,1
633000,3,4,0
634000,2,4,1
635000,3,4,1
636000,1,2,1
637000,1,3,1
638000,2,3,1
639000,2,4,1
640000,1,3,1
641000,3,4,1
642000,2,3,1
643000,1,3,1
644000,3,4,0
645000,1,2,1
646000,2,3,1
647000,1,2,1
648000,3,4,1
649000,2,4,0
650000,2,4,0
651000,1,3,0
652000,3,4,1
653000,2,4,0
654000,1,2,1
655000,1,4,0
656000,1,4,0
657000,1,2,1
658000,1,4,0
659000,1,3,1
660000,1,2,1
661000,1,4,0
662000,3,4,1
663000,1,4,0
664000,1,4,1
665000,1,4,1
666000,2,3,1
667000,1,2,1
668000,1,3,1
669000,1,3,0
670000,3,4,0
671000,2,3,0
672000,2,4,0
673000,3,4,1
674000,1,2,0
675000,2,4,1
676000,1,2,1
677000,1,2,1
678000,2,3,1
679000,1,3,0
680000,1,2,0
681000,1,4,0
682000,3,4,1
683000,1,4,0
684000,2,3,1
685000,2,4,1
686000,1,2,1
687000,1,4,1
688000,1,4,1
689000,1,4,1
690000,2,4,1
691000,1,4,1
692000,1,4,0
693000,1,3,1
694000,1,2,1
695000,3,4,1
696000,2,4,1
697000,2,4,0
698000,1,3,1
699000,2,4,1
