generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,1.88084,-1846.19,1,0
1000,1,5.15902,-1543.81,0.378301,0.243756
2000,2,7.94588,-1547.22,0.48521,0.23988
3000,3,8.31102,-1542.63,0.471424,0.207
4000,4,8.56846,-1538.76,5.40923,0.214
5000,3,6.66292,-1533.76,2.77825,0.2
6000,3,1.32602,-1534.26,2.07253,0.229128
7000,2,1.85952,-1537.79,0.638673,0.248
8000,3,7.44697,-1536.44,2.30634,0.2355
9000,4,7.47727,-1539.22,3.64513,0.2324
10000,3,8.8313,-1544.7,0.765299,0.227667
11000,2,6.33614,-1538.23,1.23767,0.199
12000,1,5.09715,-1545.16,0.49931,0.201167
13000,1,2.78776,-1543.66,1.89935,0.247
14000,1,4.34763,-1544.1,0.518057,0.2305
15000,1,3.31376,-1545.03,0.0709874,0.217
16000,1,3.46044,-1544.31,0.186764,0.2095
17000,1,0.910411,-1542.55,3.13803,0.231
18000,1,5.0089,-1545.78,0.938292,0.225
19000,3,2.59081,-1536.5,3.14235,0.227364
20000,2,3.44714,-1537.97,2.00573,0.227917
21000,2,3.43472,-1539,1.61424,0.201
22000,1,6.83554,-1544.29,0.826781,0.225944
23000,2,12.9856,-1535.69,1.12346,0.232154
24000,2,10.646,-1541.48,0.696627,0.2185
25000,3,11.1163,-1532.14,4.00093,0.237
26000,5,21.5445,-1534.64,1.93283,0.2525
27000,3,15.0889,-1538.2,0.771606,0.274
28000,1,9.75131,-1545.84,0.497182,0.2327
29000,1,6.89775,-1543.63,0.732485,0.230857
30000,2,7.95122,-1542.22,2.33573,0.232125
31000,1,7.49431,-1550.19,2.23378,0.225333
32000,1,8.43486,-1547.02,1.40698,0.221
33000,2,13.6905,-1543.84,0.737311,0.230696
34000,2,14.2165,-1538.14,1.0738,0.230542
35000,2,14.8005,-1536.09,1.19664,0.231556
36000,3,14.1342,-1532.99,2.29785,0.234
37000,2,9.39586,-1537.17,1.56953,0.217
38000,3,16.1656,-1532.84,1.15558,0.229
39000,3,13.6076,-1532.75,3.64731,0.245
40000,2,9.77817,-1538.58,1.72063,0.25
41000,1,9.49508,-1547.39,0.652305,0.233111
42000,1,9.38313,-1550.23,0.71573,0.2287
43000,1,9.36223,-1547.17,0.944802,0.23
44000,1,8.95487,-1546.74,1.50588,0.232
45000,1,9.00672,-1547.39,1.19962,0.214
46000,1,7.71611,-1546.92,2.82096,0.2195
47000,1,7.96559,-1547.65,2.5099,0.213
48000,1,9.92614,-1551.74,0.67699,0.2195
49000,1,8.86361,-1542.91,1.0943,0.220778
50000,1,8.90489,-1542.34,0.84411,0.2207
51000,1,7.6944,-1543.09,1.96608,0.233
52000,1,9.93651,-1546.04,0.35997,0.235
53000,1,9.60062,-1543.04,0.266323,0.21
54000,1,7.68445,-1542.94,1.60462,0.221
55000,1,8.37035,-1543.48,0.753294,0.228138
56000,1,7.79993,-1542.76,1.16857,0.227867
57000,1,6.3849,-1543.62,0.974445,0.222778
58000,1,8.57334,-1543.15,0.618671,0.226357
59000,1,8.48343,-1542.52,0.446793,0.2278
60000,1,6.5364,-1541.88,2.00613,0.228833
61000,1,7.47316,-1543.33,1.27206,0.244
62000,1,8.42807,-1541.94,0.5487,0.243
63000,1,7.77732,-1543.93,0.994322,0.221
64000,1,6.99951,-1542.31,1.15636,0.226875
65000,1,8.2549,-1542.43,1.08415,0.223667
66000,1,8.44174,-1540.72,0.379369,0.225875
67000,1,4.92269,-1545.7,0.917631,0.228632
68000,1,8.441,-1544.59,0.111758,0.21275
69000,1,7.8002,-1543.22,0.363201,0.233
70000,1,5.58152,-1543.31,1.94743,0.238
71000,1,6.60822,-1541.58,0.736445,0.251
72000,1,8.45361,-1544.06,0.818814,0.2275
73000,1,7.46601,-1541.23,0.3877,0.217333
74000,1,7.70704,-1544.5,0.546584,0.254
75000,1,6.39176,-1542.25,1.60735,0.223
76000,1,8.44737,-1541.91,0.405247,0.230643
77000,1,7.12375,-1541.95,1.56996,0.204
78000,1,8.28021,-1542.03,0.337296,0.2155
79000,1,7.4964,-1540.56,0.88891,0.226667
80000,1,8.21494,-1542.12,0.933425,0.237
