taxon	min	max
Alienopteris_livingstonensis	113	125
Alsophila_antarctica	20.44	33.9
Alsophila_arcuata	99.6	112
Alsophila_formosa	88.6	99.6
Alsophila_major	113	125
Alsophilidites_delectus	66	99.6
Alsophilocaulis_calveloi	23	28
Cibotiocaulis_tateiwai	130	133.9
Cibotium_iwatense	86	90
Cibotium_oregonense	33.9	40.4
Cibotium_tasmanense	33.9	66
Cnemidaria_magna	47	56
Cnemidaria_sp	2.58	23.3
Conantiopteris_schumanii	113	125
Coniopteris_blomstrandii	33.9	56
Coniopteris_bella	166	168
Coniopteris_concinna	163	174
Coniopteris_hymenophylloides	168	170
Coniopteris_margaretae	168	170
Coniopteris_murrayana	168	170
Coniopteris_simplex	168	170
Coniopteris_lobata	174	201.3
Coniopteris_cf_murrayana	174	201.3
Coniopteris_spA	174	201.3
Culcita_emberi	13.8	15.97
Cyathea_colombiensis	2.5	3.6
Cyathea_cranhamii	125	129
Cyathea_cyathifolia	113	129
Cyathea_divertens	0.01	2.6
Cyathea_fossilis	88.6	99.6
Cyathea_inequilateralis	33.9	47.8
Cyathea_juliverti	2.5	3.6
Cyathea_paleospora	2.58	5.33
Cyathea_pinnata	41.2	47.8
Cyathea_porospora	2.58	5.33
Cyathea_siwalika	2.5	3.6
Cyathea_sp	15.97	23.03
Cyathea_sp_Graham	27.82	33.9
Cyathea_type1	2.58	23.3
Cyathea_type2	2.58	23.3
Cyatheacidites_annulatus_Kerguelen	5.333	23.03
Cyatheacidites_annulatus	20.44	27.82
Cyatheacidites_archangelskyi	100.5	113
Cyatheacidites_botuliformis	72.1	83.6
Cyatheacidites_tectifera	113	125
Cyatheales_indet_Vera	113	125
Cyathidites_australis	100.5	145
Cyathidites_minor	125	130
Cyathidites_patagonicus	113	125
Cyathocaulis_naktongensis	130	133.9
Cyathocaulis_niheitakagii	112	130
Cyathocaulis_yabei	66	145
Cyathocaulis_yezopteroides	83.5	85.8
Cyathodendron_texanum	33	41
Cyathorachis_fujiana	66	89.6
Cyathorachis_yubariensis	66	89.6
Cyathorachis_yudzuruogurae	66	89.6
Dentropteridium_cyatheoides	3	23
Dicksonia_bulbacea	66	99.6
Dicksonia_densa	66	99.6
Dicksonia_dissecta	34	38
Dicksonia_dubia	94	100
Dicksonia_kendalliae	168	170
Dicksonia_lanatiformis	88.6	99.6
Dicksonia_mariopteris	168	170
Dicksonia_patagonica	5.333	23.03
Dicksonia_sp_BertoliCunha	41	48
Dicksonia_verrucosa	88.6	99.6
Eboracia_lobifolia	166	170
Eocyathea_remesaliae	113	125
Heilongjiangcaulis_keshanensis	66	100
Hemitelia_karsteniana	94	100
Hemitelia_sp_Graham	27.82	33.9
Kuylisporites_aduncus	66	100.5
Kuylisporites_mirabilis	94	100
Kuylisporites_separatus	56	72
Kuylisporites_walterbolkii	41	48
Kwazulupteris_schaarschmidtii	90	113
Kylispirites_arguta	168	170
Lophosoria_antarctica	33.9	66
Lophosoria_cupulatus	113	125
Lophosoria_falsa	99.6	112
Loxsomopteris_anasilla	113	129.4
Natalipteris_widei	90	113
Nishidacaulis_burgii	28	41
Oguracaulis_banksii	100	163
Oncopteris_nettwallii	93	100
Paracyathocaulis_ogurae	85.8	93.6
Protocyathea_cretaceae	66	89
Protocyathea_cyatheoides	129	140
Protocyathea_rajmahalense	145	163.5
Protopteris_maletinensis	93	100
Protopteris_punctata	93	100
Protopteris_singeri	93	100
Rafaherbstia_nishidai	113	125
Rickwoodopteris_hirsuta	72	83
Sergioa_austrina	113	125
SphaeropterisTrichipteris_Graham	5.3	13.8
Thyrsopteris_cretaceae	93	100.5	
Thyrsopterorachis_mesozoica	66	89.6
Yavanna_chimaerica	113	125
