taxon	age
Alsophila_abbottii	0
Alsophila_acutula	0
Alsophila_albidosquamata	0
Alsophila_alta	0
Alsophila_amintae	0
Alsophila_apoensis	0
Alsophila_appendiculata	0
Alsophila_approximata	0
Alsophila_archboldii	0
Alsophila_auriculata	0
Alsophila_australis	0
Alsophila_bellisquamata	0
Alsophila_boivinii	0
Alsophila_borbonica	0
Alsophila_borneensis	0
Alsophila_brevipinna	0
Alsophila_brooksii	0
Alsophila_bryophila	0
Alsophila_camerooniana	0
Alsophila_catillifera	0
Alsophila_celsa	0
Alsophila_coactilis	0
Alsophila_colensoi	0
Alsophila_conantiana	0
Alsophila_concava	0
Alsophila_costalisora	0
Alsophila_costularis	0
Alsophila_crinita	0
Alsophila_cunninghamii	0
Alsophila_cuspidata	0
Alsophila_decrescens	0
Alsophila_dicksonioides	0
Alsophila_dregei	0
Alsophila_edanoi	0
Alsophila_emilei	0
Alsophila_engelii	0
Alsophila_erinacea	0
Alsophila_esmeraldensis	0
Alsophila_everta	0
Alsophila_exilis	0
Alsophila_ferdinandii	0
Alsophila_firma	0
Alsophila_foersteri	0
Alsophila_fulgens	0
Alsophila_geluensis	0
Alsophila_glaucifolia	0
Alsophila_gleichenioides	0
Alsophila_grangaudiana	0
Alsophila_grevilleana	0
Alsophila_havilandii	0
Alsophila_hebes	0
Alsophila_hildebrandtii	0
Alsophila_holstii	0
Alsophila_hooglandii	0
Alsophila_hookeri	0
Alsophila_humilis	0
Alsophila_hyacinthei	0
Alsophila_hymenodes	0
Alsophila_imrayana	0
Alsophila_incana	0
Alsophila_jimeneziana	0
Alsophila_katoi	0
Alsophila_kermadecensis	0
Alsophila_kirkii	0
Alsophila_lastii	0
Alsophila_latebrosa	0
Alsophila_ligulata	0
Alsophila_loheri	0
Alsophila_longipinnata	0
Alsophila_longispina	0
Alsophila_lurida	0
Alsophila_macgillivrayi	0
Alsophila_macgregorii	0
Alsophila_manniana	0
Alsophila_marattioides	0
Alsophila_marcescens	0
Alsophila_matitanensis	0
Alsophila_melanocaula	0
Alsophila_melleri	0
Alsophila_micra	0
Alsophila_microphylloides	0
Alsophila_milnei	0
Alsophila_minor	0
Alsophila_modesta	0
Alsophila_mostellaria	0
Alsophila_muelleri	0
Alsophila_nigrolineata	0
Alsophila_odonelliana	0
